Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
8,537880E+2	5,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,275410E+2	3,581246E+3	3,471725E-1	7,309925E-4	2,751946E-2	1,360967E+6	5,164731E+2
7,467310E+2	3,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,213507E+2	3,648111E+3	3,474814E-1	6,085358E-4	2,751946E-2	1,360967E+6	5,164731E+2
5,575660E+2	1,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,144688E+2	3,711147E+3	3,470953E-1	5,151776E-4	2,751946E-2	1,360967E+6	5,164731E+2
8,885470E+2	4,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,754848E+2	4,191310E+3	6,647873E-1	3,768036E-4	5,900277E-2	2,262707E+6	5,633670E+2
8,541370E+2	3,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,727268E+2	4,195145E+3	6,683285E-1	3,534823E-4	5,900277E-2	2,262707E+6	5,633670E+2
7,731050E+2	2,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,698032E+2	4,199484E+3	6,715121E-1	3,326337E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,953320E+2	1,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,667122E+2	4,204325E+3	6,743478E-1	3,139132E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,064440E+2	9,429855E+0	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,634532E+2	4,209667E+3	6,768448E-1	2,970322E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,007740E+2	-5,701450E-1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,600272E+2	4,215518E+3	6,790121E-1	2,817480E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,456580E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,964030E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,519550E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,224620E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,912560E+2	1,277072E+2	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	8,132103E+2	2,488027E+3	1,750340E-1	1,677716E-3	1,587337E-2	8,791950E+5	4,533142E+2
6,018990E+2	1,077072E+2	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	8,061877E+2	2,609127E+3	1,727596E-1	1,348004E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,959010E+2	1,077072E+2	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	8,061877E+2	2,609127E+3	1,727596E-1	1,348004E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,574230E+2	8,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	7,989812E+2	2,729892E+3	1,706638E-1	1,097506E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,287050E+2	6,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	7,912657E+2	2,848474E+3	1,686630E-1	9,037466E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,273880E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,895700E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	4,509017E+3	4,966359E+2	2,271864E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
6,186420E+2	6,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,428661E+2	3,004460E+3	1,993092E-1	1,122130E-3	1,794446E-2	9,731458E+5	4,696929E+2
5,594990E+2	4,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,353476E+2	3,111303E+3	1,975057E-1	9,101598E-4	1,794446E-2	9,731458E+5	4,696929E+2
5,384250E+2	2,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,270804E+2	3,213401E+3	1,955625E-1	7,488099E-4	1,794446E-2	9,731458E+5	4,696929E+2
5,331360E+2	2,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,270804E+2	3,213401E+3	1,955625E-1	7,488099E-4	1,794446E-2	9,731458E+5	4,696929E+2
